lambda,L,M,S
380,0,0,0
385,0,0,0
390,4.08E-04,3.58E-04,6.14E-03
395,1.07E-03,9.65E-04,1.60E-02
400,2.54E-03,2.37E-03,3.96E-02
405,5.32E-03,5.12E-03,8.98E-02
410,9.99E-03,9.99E-03,1.79E-01
415,1.60E-02,1.73E-02,3.06E-01
420,2.34E-02,2.73E-02,4.63E-01
425,3.09E-02,3.97E-02,6.10E-01
430,3.98E-02,5.55E-02,7.57E-01
435,4.94E-02,7.50E-02,8.70E-01
440,5.95E-02,9.58E-02,9.67E-01
445,6.87E-02,1.16E-01,9.93E-01
450,7.96E-02,1.39E-01,9.91E-01
455,9.08E-02,1.62E-01,9.07E-01
460,1.07E-01,1.93E-01,8.24E-01
465,1.28E-01,2.32E-01,7.37E-01
470,1.52E-01,2.71E-01,6.10E-01
475,1.77E-01,3.10E-01,4.71E-01
480,2.08E-01,3.55E-01,3.50E-01
485,2.44E-01,4.06E-01,2.58E-01
490,2.83E-01,4.56E-01,1.85E-01
495,3.35E-01,5.23E-01,1.35E-01
500,3.92E-01,5.91E-01,9.68E-02
505,4.56E-01,6.66E-01,6.50E-02
510,5.27E-01,7.44E-01,4.12E-02
515,6.00E-01,8.17E-01,2.71E-02
520,6.75E-01,8.89E-01,1.76E-02
525,7.37E-01,9.35E-01,1.13E-02
530,7.89E-01,9.62E-01,7.17E-03
535,8.37E-01,9.81E-01,4.54E-03
540,8.91E-01,9.99E-01,2.83E-03
545,9.27E-01,9.91E-01,1.76E-03
550,9.45E-01,9.62E-01,1.08E-03
555,9.71E-01,9.36E-01,6.65E-04
560,9.86E-01,8.91E-01,4.09E-04
565,9.97E-01,8.41E-01,2.52E-04
570,1.00E+00,7.77E-01,1.56E-04
575,9.87E-01,7.00E-01,9.67E-05
580,9.58E-01,6.12E-01,6.05E-05
585,9.40E-01,5.32E-01,3.81E-05
590,9.07E-01,4.54E-01,2.43E-05
595,8.60E-01,3.77E-01,1.56E-05
600,8.03E-01,3.04E-01,1.01E-05
605,7.41E-01,2.40E-01,6.67E-06
610,6.69E-01,1.85E-01,4.44E-06
615,5.93E-01,1.40E-01,2.99E-06
620,5.17E-01,1.05E-01,
625,4.45E-01,7.66E-02,
630,3.69E-01,5.55E-02,
635,3.00E-01,3.97E-02,
640,2.42E-01,2.80E-02,
645,1.94E-01,1.94E-02,
650,1.50E-01,1.38E-02,
655,1.13E-01,9.54E-03,
660,8.38E-02,6.50E-03,
665,6.16E-02,4.43E-03,
670,4.48E-02,3.06E-03,
675,3.22E-02,2.12E-03,
680,2.28E-02,1.46E-03,
685,1.59E-02,9.98E-04,
690,1.09E-02,6.78E-04,
695,7.59E-03,4.68E-04,
700,5.29E-03,3.25E-04,
705,3.67E-03,2.26E-04,
710,2.51E-03,1.55E-04,
715,1.72E-03,1.07E-04,
720,1.19E-03,7.49E-05,
725,8.22E-04,5.25E-05,
730,5.73E-04,3.70E-05,
735,4.00E-04,2.62E-05,
740,2.79E-04,1.86E-05,
745,1.97E-04,1.34E-05,
750,1.38E-04,9.63E-06,
755,9.81E-05,6.97E-06,
760,6.99E-05,5.07E-06,
765,4.98E-05,3.69E-06,
770,3.58E-05,2.70E-06,
775,2.56E-05,1.97E-06,
780,1.86E-05,1.46E-06,
785,1.35E-05,1.08E-06,
790,9.81E-06,8.01E-07,
795,7.15E-06,5.96E-07,
800,5.24E-06,4.48E-07,
805,3.86E-06,3.38E-07,
810,2.84E-06,2.55E-07,
815,2.10E-06,1.93E-07,
820,1.57E-06,1.47E-07,
825,1.17E-06,1.12E-07,
830,8.73E-07,8.49E-08,
